sample_id,init_n_TM,init_r_TM,init_q_TM,init_p_TM,init_I_TM,init_S_TM,init_monovalent,init_divalent,init_trivalent,initial_na,phase_change,init_state_O_-2,init_state_Na_1,init_state_O_-1,final_charge,final_n_TM,final_r_TM,final_q_TM,final_p_TM,final_I_TM,final_S_TM,final_na,final_state_O_-2,final_state_Na_1,final_state_O_-1
35,1.0,57.449999999999996,3.3000000000000003,0.06000844730020671,67.31618970000001,1.277991468858459,0.1,0.05,0.0,0.7,0,2.0,0.7,0.0,-2.498001805406602e-16,1.0,55.49999999999999,3.5999999999999996,0.06803486704181838,73.6671897,0.9142855814670989,0.09,1.69,0.09,0.31000000000000016
36,1.0,55.650000000000006,3.3299999999999996,0.06022517951687129,58.21799999999999,1.042606863189627,0.0,0.0,0.0,0.67,0,2.0,0.67,0.0,3.3306690738754696e-16,1.0,53.75,3.7100000000000004,0.06924925238609707,66.274,0.7817708066176997,0.29,2.0,0.29,0.0
37,1.0,59.64999999999999,3.33,0.05927596757460128,61.11999,0.8384223834289064,0.0,0.3,0.0,0.67,0,2.0,0.67,0.0,2.220446049250313e-16,1.0,59.3,3.4,0.06093829678735339,62.603989999999996,0.6108643020548935,0.24,1.6399999999999997,0.24,0.3600000000000002
39,1.0,58.87,3.3299999999999996,0.059505168799248165,72.243408,0.9007513859854941,0.0,0.28,0.0,0.67,1,2.0,0.67,0.0,-1.942890293094024e-16,1.0,58.32,3.44,0.06211740041928721,74.57540800000001,0.5929533174474745,0.1,1.54,0.1,0.4600000000000001
40,1.0,56.60000000000001,3.33,0.059974659807125644,59.850531,1.256423640201891,0.0,0.07,0.0,0.67,1,2.0,0.67,0.0,0.0,1.0,53.17000000000001,3.8600000000000003,0.07412459629440761,71.070931,0.8047073206766868,0.13,1.9900000000000002,0.13,0.009999999999999787
42,1.0,56.85,3.33,0.06113876509751933,67.487262125,1.0619947202606537,0.125,0.0,0.0,0.67,0,2.0,0.67,0.0,1.1102230246251565e-16,1.0,54.625,3.625,0.0696478814961933,73.72626212499999,0.9002560512685369,0.2,1.825,0.2,0.175
43,0.8571428571428571,53.0,3.4285714285714284,0.06469002695417789,62.06571428571428,0.13212915413765,0.0,0.0,0.0,0.57,0,1.9985714285714282,0.57,0.0014285714285716677,-2.220446049250313e-16,0.8571428571428571,53.0,3.4285714285714284,0.06469002695417789,62.06571428571428,0.13212915413765,0.24,1.6685714285714286,0.24,0.3314285714285714
45,1.0,55.85,3.33,0.060022655451250115,59.1335,1.076782494808088,0.0,0.0,0.0,0.67,1,2.0,0.67,0.0,2.7755575615628914e-17,1.0,53.51,3.7800000000000002,0.07088948787061995,68.6717,0.6540663924369857,0.22,2.0,0.22,0.0
46,1.0,57.379999999999995,3.34,0.0617440642773314,70.89141746,0.8127678021576704,0.18,0.0,0.0,0.66,0,2.0,0.66,0.0,-2.7755575615628914e-17,1.0,57.379999999999995,3.34,0.0617440642773314,70.89141746,0.8127678021576704,0.21,1.5499999999999998,0.21,0.4500000000000002
48,1.0,55.074999999999996,3.33,0.060757089299354666,62.949619999999996,1.4145741957721918,0.0,0.0,0.05,0.67,1,2.0,0.67,0.0,-4.163336342344337e-17,1.0,51.275,3.95,0.0772534238523482,76.77562,1.094056456831614,0.05,2.0,0.05,0.0
49,1.03,59.72815533980582,3.34,0.06111638530287983,74.71261808,0.6562766650065724,0.24,0.03,0.0,0.66,0,2.0,0.66,0.0,1.942890293094024e-16,1.03,59.72815533980582,3.34,0.06111638530287983,74.71261808,0.6562766650065724,0.09,1.4299999999999997,0.09,0.5700000000000002
50,1.0,56.605999999999995,3.33,0.060545981971302135,65.15605485,1.2701985276311838,0.05,0.05,0.0,0.67,1,2.0,0.67,0.0,-1.942890293094024e-16,1.0,53.615,3.75,0.07230621758799513,74.04223485,0.9651584635884278,0.23,1.98,0.23,0.020000000000000115
51,1.0,57.71000000000001,3.33,0.059773270563420855,64.08258,1.3277404883063415,0.0,0.1,0.0,0.67,1,2.0,0.67,0.0,0.0,1.0,54.07000000000001,3.8,0.07216046850788442,74.11525999999999,0.9265333379816192,0.2,2.0,0.2,0.0
53,1.0,57.650000000000006,3.0,0.05205631129389434,51.216,0.3250829733914482,0.0,0.0,0.0,1.0,0,2.0,1.0,0.0,-5.551115123125783e-17,1.0,54.800000000000004,3.57,0.06559242059773299,63.3,0.9165249587390549,0.43,2.0,0.43,0.0
54,1.0,56.849999999999994,3.33,0.05991041092212205,63.96136,1.2685732184084877,0.0,0.1,0.0,0.67,1,2.0,0.67,0.0,2.220446049250313e-16,1.0,53.9,3.8,0.07227463312368972,73.91336,0.8018185525433373,0.19,1.9899999999999998,0.19,0.01000000000000012
56,1.0,55.68333333333333,3.33,0.06017659633794962,59.44266666666666,1.0985789547791986,0.0,0.0,0.0,0.67,1,2.0,0.67,0.0,-4.163336342344337e-17,1.0,51.73333333333333,3.95,0.07660414794848758,72.56966666666666,0.7774171975634762,0.05,2.0,0.05,0.0
57,1.0,54.85,3.33,0.06097149109836163,60.056,1.0136649195005232,0.0,0.0,0.0,0.67,1,2.0,0.67,0.0,-2.220446049250313e-16,1.0,54.0,3.5,0.06500857632933105,63.66,0.6931471805599453,0.12,1.62,0.12,0.38
61,0.99,58.19191919191919,3.34,0.05731642900617337,55.7432,1.2721822732156758,0.0,0.0,0.0,0.66,1,2.0,0.66,0.0,-1.5612511283791264e-17,0.99,54.060606060606055,3.96,0.07402465003043213,68.8674,1.0948449565014258,0.01,1.97,0.01,0.030000000000000034
62,1.0,54.6,3.33,0.06122169960545087,58.236,1.0136649195005232,0.0,0.0,0.0,0.67,0,2.0,0.67,0.0,1.1102230246251565e-16,1.0,53.54,3.64,0.06811840055392072,65.7922,0.9896238392836826,0.36,2.0,0.36,0.0
64,1.0,65.08,3.3400000000000003,0.053217317487266554,62.66082134,0.5269079614313803,0.22,0.0,0.0,0.66,1,2.0,0.66,0.0,2.7755575615628914e-17,1.0,65.08,3.3400000000000003,0.053217317487266554,62.66082134,0.5269079614313803,0.0,1.34,0.0,0.6599999999999999
65,1.0,57.099999999999994,3.33,0.05909334265562235,57.940075500000006,1.3028680026951267,0.0,0.0,0.0,0.67,0,2.0,0.67,0.0,1.7694179454963432e-16,1.0,54.27499999999999,3.8499999999999996,0.07108087738447944,74.18885,0.818808456222877,0.02,1.8699999999999997,0.02,0.13000000000000025
